Gender,Age Group,Industry,Work Experience in your current job,Which of the following social media do you mostly access while at work? (indicate more than one where applicable),Which devices do you use to access social media sites while at work ? (indicate more than one where applicable),Frequency of social media usage while at work,"If you are a daily user, how often do you access social media sites while at work ","Usually, How much time do you spend on social media sites with each log in",Why do you use the social media for (indicate more than one where applicable),I almost always perform better than an accepted level,I often manage workload during office hours,I often Choose to take on additional tasks at work,The Quality of my work is Top-grade,I often introduce innovative approaches to traditional work practices
Male,31 - 35 years,Apparel,more than 5 years,Facebook,Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,2,4,4
Male,31 - 35 years,Apparel,more than 5 years,Instagram;WhatsApp;LinkedIn,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For entertainment and to kill time,4,2,4,4,4
Female,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,5,3,4,3
Male,36 -40 years,Apparel,more than 5 years,Facebook;WhatsApp;Viber;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;Others,4,2,3,4,3
Female,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;Viber,Smart Phone,Daily,more than 5 times,Not Applicable,To keep in touch with friends;To build business contacts,3,2,3,3,3
Female,31 - 35 years,Apparel,more than 5 years,Instagram;WhatsApp;Google+;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,For news and general information;For entertainment and to kill time;To find solutions to job queries,4,4,4,3,3
Male,31 - 35 years,Banking,more than 5 years,Facebook;WhatsApp;Viber;YouTube;Others,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts,5,5,5,4,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;YouTube,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,2,3,3
Male,31 - 35 years,Apparel,3-5 years,Facebook;Instagram;WhatsApp,Laptop;Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends;For news and general information,5,4,4,4,4
Female,26 - 30 years,Apparel,Less than 1 year,Google+,Laptop,Once a Week,Not Applicable,Not Applicable,For news and general information,3,3,4,4,4
Male,31 - 35 years,Apparel,more than 5 years,Facebook;Instagram;YouTube,Smart Phone,Daily,Once a Day,Less than a minute,For news and general information;To find solutions to job queries,4,4,4,5,4
Male,31 - 35 years,Apparel,more than 5 years,WhatsApp;Viber,Smart Phone,Daily,more than 5 times,Less than a minute,Others,4,4,4,4,4
Male,26 - 30 years,Apparel,3-5 years,YouTube,Not Applicable,Daily,2-4 times a day,6-10 minutes,For news and general information;For entertainment and to kill time,4,3,3,4,3
Female,26 - 30 years,Apparel,Less than 1 year,Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,To keep in touch with friends,3,4,3,3,3
